Company Name,Website,Company LinkedIn,Unnamed: 3,Unnamed: 4,Company Description,Meta Description,Meta Title,Industries,Location,Hiring,Company Size,Contact Email,Last Funding Type,Last Funding Date,Last Funding Amount,Total Funding Amount,Revenue,IT Spend,Downloads,Tech Changes,Monthly Visits,Investor,Research Notes
ActiveIQ,https://activeiq.co/,https://www.linkedin.com/company/activeiqco/,,https://www.linkedin.com/in/brian-yee-91455171,,Intent-based AI platform to supercharge marketing & fill your sales pipeline. Designed for the way energy & industrial companies do business.,ActiveIQ - Use AI To Outsell Your Competition,"Account-Based Marketing, Energy, Industrial","Calgary, Alberta, Canada",,,,,,,,,,,,,,No public API found
Adapt,https://adapt.io,https://www.linkedin.com/company/adapt-io,,https://www.linkedin.com/in/gregory-brigham-41ab837,,Find targeted leads and decision-maker contacts over 250 million contacts  with Adapt's lead intelligence platform,B2B Lead Intelligence Platform | Adapt.io,"Sales Intelligence, Software","Coimbatore, Tamil Nadu, India",,,,,,,,,,,,,,
Agendic AI,https://www.agendic.ai,https://www.linkedin.com/company/agendic-ai,,Not found,,"Agendic AI is the future of autonomous intelligence combining Generative AI and Agentic AI to deliver proactive, logic-driven decision-making. Unlike traditional AI, it operates with a predefined agenda, analyzing data, requesting feedback, and providing intelligent recommendations. Learn more about",Generative x Agentic x Agendic Ai | Agendic AI,"Artificial Intelligence (AI), Content, Lead Generation, Software","Glasgow, Glasgow City, United Kingdom",,,,,,,,,,,,,,No public API found
Aircover.ai,https://www.aircover.ai,https://www.linkedin.com/company/aircover-ai,,https://www.linkedin.com/in/iris-kuhn,,"Aircover.ai leverages GenAI for live, in-the-moment sales call guidance, tailored content, and coaching for every rep. Equip your team with competitive intelligence, product positioning, and technical content to drive consistent performance and faster deals.",Aircover.ai: GenAI for Live Sales Calls & Enablement,"Sales Enablement, Software","San Mateo, California, United States",,,,,,,,,,,,,,No public API documentation found
AimFox,https://aimfox.com,https://linkedin.com/company/aimfox-official,,https://www.linkedin.com/in/babar-hussain-b39b7681,,Qwik site description,Aimfox - Built for LinkedIn Outreach. Made to Close Deals.,"Cloud Data Services, Lead Generation, Sales Automation, Software","Karachi, Sindh, Pakistan",,,,,,,,,,,,,,
Alignly,https://alignly.io,https://www.linkedin.com/company/alignlyio/,,https://www.linkedin.com/in/shy-bell-b664b8107,,,Alignly - Smart Sales Engagement Platform,"Artificial Intelligence (AI), Business Development, SaaS, Sales Automation, Sales Enablement","Atlanta, Georgia, United States",,,,,,,,,,,,,,"Acquired by Demandbase, no standalone public API"
Allego,https://allego.com,https://www.linkedin.com/company/allego-inc-/,,https://www.linkedin.com/in/mmagnacca,,,,,,,,,,,,,,,,,,,No public API documentation found
AmolinoAI,https://amolino.ai,https://www.linkedin.com/company/amolinoai,,https://www.linkedin.com/in/barrywilson-retention,,Amolino helps you sell more by revealing sensitive information about your customers.,"Amolino | Transform Pipeline Visibility, Forecast Accuracy & Deal Execution","Artificial Intelligence (AI), Generative AI, Sales, Sales Automation, Sales Enablement",—,,,,,,,,,,,,,,No public API found
Andsend,https://andsend.com,https://www.linkedin.com/company/andsendcom/,,https://www.linkedin.com/in/liza-eriksson-425bb0159,,"Connect your email and linkedin and set your goal. Let Andsend, your AI Customer Relationship Agent, extract opportunities and amplify value in every conversation.",Andsend | Your Customer Relationship Agent,"Artificial Intelligence (AI), CRM, Professional Networking, SaaS, Sales Enablement","Stockholm, Stockholms Lan, Sweden",,,,,,,,,,,,,,No public API found
Amazing Tools,https://atools.de,https://www.linkedin.com/company/amazing-tools,,https://www.linkedin.com/in/zhousharon,,"Von kleinen, nützlichen Tools bis hin zu komplexen CRM Upgrades. Amazing Tools unterstützt Sie bei der Auswahl Ihrer individuellen Softwarelösung.",Softwarelösungen für den Verkauf - Amazing Tools GmbH,"Information Technology, Sales Automation, Software","Höchberg, Bayern, Germany",,,,,,,,,,,,,,No public API found
Amplemarket,https://amplemarket.com,https://www.linkedin.com/company/amplemarket,,https://www.linkedin.com/in/tomregansells,,"Boost opportunity rates 3x with intent signals, AI-driven research, and personalization. Drive more pipeline with Amplemarket's AI Sales Copilot.",Amplemarket: AI Sales Copilot for sales teams,,,,,,,,,,,,,,,,
Appolo,https://appolo.ai,,,,,"Revolutionary technology for Reverse Mortage Prospecting, Sales, and Processing to win more deals faster!",Appolo - Reverse Mortgage solutions to win more deals,"Apps, CRM, Lead Management, Software","San Diego, California, United States",,,,,,,,,,,,,,
Arcanite,http://arcnet.com.au,https://www.linkedin.com/company/arc-au,,,,"Arcanite is a project marketing platform for property developers and real estate agents. It streamlines and automates workflows, saving time, money and making sales happen. Discover how Arcanite is the best project marketing software solution today!",Arcanite | Make Project Selling Effortless,"Apps, Online Portals, Property Management, Real Estate, Sales Enablement","Sydney, New South Wales, Australia",,,,,,,,,,,,,,No public API found
Asgard,https://asgard.ai,linkedin.com/company/asgard.ai,,,,Get qualified leads matching your ideal customer profile. Leverage data on the web to find companies that are likely to buy your product with a whole new level of granularity,asgard.ai | Sales Intelligence Made Easy,,,,,,,,,,,,,,,,No public API found
AroundDeal,https://arounddeal.com,https://www.linkedin.com/company/arounddeal,,,,Grow your business by driving quality prospects! AroundDeal sales & marketing intelligence platform provides 160M + business contacts and company info.,"AroundDeal: Global B2B Database, Sales & Marketing Intelligence Platform",,,,,,,,,,,,,,,,
Astor Magnus,https://astormagnus.com,https://www.linkedin.com/company/astor-magnus,,,,,Astor Magnus - Learn More,"B2B, Lead Generation, Software","Huntington, New York, United States",,,,,,,,,,,,,,No public API found
Cirrus Insight,https://www.cirrusinsight.com,https://www.linkedin.com/company/cirrusinsight/,,,,,"Attach | Identify your most engaged leads, close more deals.","Document Management, Information Technology, Sales Enablement, Software","Stockholm, Stockholms Lan, Sweden",,,,,,,,,,,,,,No public API found
Ateni,https://ateni.ai,https://www.linkedin.com/company/ateni,,,,"Conoce a Margot, tu nuevo agente de ventas con IA. Automatiza contactar, responder, insistir y seguir prospectos. Transforma la parte más tediosa de vender.",Ateni - Tu Agente de Ventas con IA | Margot automatiza tus ventas,"B2B, Generative AI, SaaS, Sales","Seville, Andalucia, Spain",,,,,,,,,,,,,,No public API found
QuoteWerks,https://www.quotewerks.com,https://www.linkedin.com/company/aspire-technologies,,,,Create professional quotes & proposals in minutes with QuoteWerks® - The Number 1 Integrated quoting and proposal software solution (CPQ) that integrates with your CRM and Accounting to create a seamless sales process.,QuoteWerks: Sales Quoting Software and Proposal Software Solution | CPQ,"Business Process Automation (BPA), CRM, Sales Automation, Software","Orlando, Florida, United States",,,,,,,,,,,,,,
Attract,https://attractgrowth.com,https://www.linkedin.com/company/attractgrowth/,,,,Attract is an all-in-one sales & marketing tool that helps to generate more leads & close deals up to 10x faster. All on autopilot.,Attract | Automate Your Business,"Business Development, Messaging, Sales Automation, Software","Venice, California, United States",,,,,,,,,,,,,,No public API found
AutoRFP.ai,https://autorfp.ai,https://www.linkedin.com/company/auto-rfp/,,,,"AutoRFP.ai is AI RFP Software that Automates RFP Responses. With RFP AI AutoRFP.ai automates RFPs, RFIs, Tenders, DDQs and security questionnaires responses using Generative AI.",AutoRFP.ai: AI RFP Software,"Artificial Intelligence (AI), Knowledge Management, SaaS, Sales Automation, Software",—,,,,,,,,,,,,,,No public API found
Awarathon,https://awarathon.com,https://www.linkedin.com/company/awarathon,,,,Awarathon is an AI powered sales training software Our virtual training leverages AI to help sales teams make effective pitches,Awarathon| AI powered sales training software,,,,,,,,,,,,,,,,No public API found
Autoklose,https://autoklose.com,https://www.linkedin.com/company/autoklose,,,,Autoklose is a sales automation software for every stage of the funnel. Automate your way through the sales process and close more deals.,Autoklose - Close More Deals Faster,"SaaS, Sales Automation, Software","Toronto, Ontario, Canada",,,,,,,,,,,,,,No public API found
BAM!,https://www.bamsales.io,https://www.linkedin.com/company/mobiledealerportal,,,,We help manufacturers make dealers their partners with mobile sales tools and apps.,Mobile sales apps for dealers and distributors | BAM!,"Mobile Apps, SaaS, Sales, Sales Enablement","Portland, Oregon, United States",,,,,,,,,,,,,,No public API found
BatchService,https://batchservice.com,https://www.linkedin.com/company/batchdataco,,,,Get access to best-in-class real estate data for your business needs from a single provider with custom data delivery options,"BatchData | Comprehensive Real Estate Data, APIs, and AI","Big Data, Data Integration, Information Services, Lead Generation, Real Estate, SaaS, Software","Tempe, Arizona, United States",,,,,,,,,,,,,,Added to directory (lib/data.ts) - Prospecting
Bearworks,https://bearworks.com,https://www.linkedin.com/company/bearworks,,,,"Unlock your sales potential. Transform your team through Bearworks' AI-powered Sales Conversation Platform for unparalleled productivity, with a parallel dialer, live salesfloor, and personalized voicemails.",Bearworks - Virtual Salesfloor and Parallel Dialer,,,,,,,,,,,,,,,,No public API found
Basicq,https://www.basiq360.com/,https://www.linkedin.com/company/basiqcrm/,,,,,,"Information Technology, Sales Automation, Software","Mississauga, Ontario, Canada",,,,,,,,,,,,,,No public API found
BetterContact,https://bettercontact.rocks,https://www.linkedin.com/company/bettercontact,,,,,,,,,,,,,,,,,,,,,Added to directory (lib/data.ts) - Enrichment
Bigtincan,http://www.bigtincan.com,https://www.linkedin.com/company/bigtincan,,,,"Bigtincan's AI-powered sales enablement platform empowers customer-facing teams to deliver personalized, measurable buying experiences.",Industry Leading Sales Enablement Solutions | Bigtincan,"Analytics, Artificial Intelligence (AI), Machine Learning, Sales Automation, Sales Enablement, Software","Waltham, Massachusetts, United States",,,,,,,,,,,,,,No public API found
BirdDog,http://getbirddog.ai,https://www.linkedin.com/company/birddog-ai/,,,,"Turn endless research into instant sales insights with BirdDog. Automate account research, find decision-makers, match ideal customers, and get real-time sales triggers for smarter outreach. Try BirdDog today.",BirdDog | Sales Research and Signals Platform,"Sales, Sales Enablement",—,,,,,,,,,,,,,,No public API found
Bitscale AI,https://bitscale.ai,https://www.linkedin.com/company/bit-scale,,,,"Easy to use and cheap Clay.com alternative, find and enrich leads from 20+ sources, build personalized outbound campaigns at scale using our AI agents.",Personalized outbound at scale | Bitscale,,,,,,,,,,,,,,,,
Binox,https://binoxmsp.com,https://www.linkedin.com/company/binoxmsp,,,,"Automate, organize, and grow your business with Binox: the all-in-one solution for your sales and marketing strategy.",Optimize Your Sales and Marketing with Binox | Binox,"Information Technology, SaaS, Sales Enablement, Software","Garden City, New York, United States",,,,,,,,,,,,,,No public API found
Bland,https://bland.ai,https://www.linkedin.com/company/bland-ai,,,,"Transform your enterprise communication with Bland AI. Automate inbound and outbound phone calls using AI that sounds human. Perfect for sales, customer support, and operations with customizable voices and seamless integrations.",Bland AI | Automate Phone Calls with Conversational AI for Enterprises,,,,,,,,,,,,,,,,Added to directory (lib/data.ts) - Voice & Calling
Bombora,https://bombora.com,https://linkedin.com/company/bomboradata,,,,,,,,,,,,,,,,,,,,,No public API found
Boomerang,https://getboomerang.ai,https://www.linkedin.com/company/getboomerang,,,,"With Boomerang AI agents, you generate revenue by identifying warm leads, tracking job changes, and mapping buying groups, enabling 5x higher engagement and boosting pipeline revenue. Get a free pipeline leak assessment.",AI Warm Outbound for GTM Teams | BoomerangAi,,,,,,,,,,,,,,,,No public API found
Blitz Sales Software,https://www.nowblitz.com,https://www.linkedin.com/company/blitz-lead-manager/,,,,Sales CRM software to accelerate your contact management. Blitz is built to convert more leads into sales and build long-term relationships.,Sales CRM and Lead Management Software | Contact Automation | Blitz,"Information Technology, Sales Enablement, Software","Toledo, Ohio, United States",,,,,,,,,,,,,,
Brainial,https://brainial.com,https://www.linkedin.com/company/brainial/,,,,Accelerate your tender process with explainable AI. Save up to 60% time and increase your win rate with Brainial’s AI-native tender management.,Brainial | AI tool for tender management,"Civil Engineering, Construction, Data Mining, Knowledge Management, Procurement, SaaS, Sales Automation, Software, Text Analytics","Utrecht, Utrecht, The Netherlands",,,,,,,,,,,,,,No public API found
Bravado,https://bravado.co,https://www.linkedin.com/company/wearebravado,,,,,,"B2B, Information Technology, Internet, Professional Networking, Sales, Sales Enablement, Software","San Francisco, California, United States",,,,,,,,,,,,,,No public API found
BrandNav,https://www.brandnav.io,https://www.linkedin.com/company/brandnav,,,,"BrandNav is a powerful sales intelligence tool that helps businesses find B2B contact details, targeted eCommerce DTC leads, enrich contact information with the goal of making B2B data accessible for businesses of all sizes.","BrandNav - B2B Company Data, Contact Details and Sales Leads","CRM, Lead Generation, Software","Allahabad, Uttar Pradesh, India",,,,,,,,,,,,,,
Bryo,https://www.bryo.ai,https://www.linkedin.com/company/bryo-ai/,,,,"Bryo’s AI helps technical sales teams win more orders by configuring faster and smarter quotes for industrial components and tools such as valves, bearings, electric motors, micrometers, drills, sensors etc.",Bryo - Faster and better quotes for complex products,"Artificial Intelligence (AI), Sales, Sales Automation, Software","Berlin, Berlin, Germany",,,,,,,,,,,,,,Added to directory (lib/data.ts) - Sales Engagement
Buopso,https://www.buopso.com,https://www.linkedin.com/company/buopso,,,,Explore top CRM software for lead management & growth. Get free support & boost efficiency. Find the best CRM for your business now.,Best CRM Software for Lead Management & Sales | Free Support | Top CRM Companies,"CRM, Lead Management, Project Management, Software","Delhi, Delhi, India",,,,,,,,,,,,,,
BŪP,https://bup.ai,https://www.linkedin.com/company/bupai,,,,AI-driven Lead Nurturing Solution,BŪP | Home,"Artificial Intelligence (AI), B2B, Enterprise Software, Lead Management, SaaS, Sales Automation, Software","Tampa, Florida, United States",,,,,,,,,,,,,,No public API found
Buzz,https://buzz.ai,https://www.linkedin.com/company/buzzoutreach/,,,,,,,,,,,,,,,,,,,,,No public API found
CRM,https://crm.io,https://www.linkedin.com/company/crm-io-ai,,,,CRM Software by CRM.io offers advanced AI powered CRM features and solutions to streamline customer management and boost business growth.,CRM Software - Automate and Accelerate Sales - CRM.io,"CRM, Lead Generation, Sales, Software","New York, New York, United States",,,,,,,,,,,,,,
Caccao,https://caccao.me,https://www.linkedin.com/company/caccao,,,,Caccao website,Caccao,"Artificial Intelligence (AI), B2B, Professional Networking, SaaS, Sales Enablement, Social CRM","São Paulo, Sao Paulo, Brazil",,,,,,,,,,,,,,
Canvass,https://www.canvass.com,https://www.linkedin.com/company/canvasssales,,,,"Canvass is a mobile sales tool for field teams, offering CRM integration, real-time tracking, performance analytics, and more to boost productivity and sales.",Canvass - The Mobile Door-to-Door Sales CRM,"CRM, Information Services, Information Technology, Productivity Tools, Sales, Sales Automation, Software","Boston, Massachusetts, United States",,,,,,,,,,,,,,
Carrier IQ,https://carrieriq.io,https://www.linkedin.com/company/carrier-iq-io/,,,,Connect with the right customers faster. Carrier IQ gives agents and brokers access to real-time policy and carrier insights to grow your book of business.,Carrier IQ | Real-Time Policy & Carrier Data for Insurance,"Artificial Intelligence (AI), Commercial Insurance, Lead Generation, Machine Learning, SaaS, Software, Transportation","Charlotte, North Carolina, United States",,,,,,,,,,,,,,No public API found
Catchlight,https://catchlight.ai,https://www.linkedin.com/company/catchlight-insights/,,,,Discover how Catchlight empowers financial advisors with effective sales prospecting and personalized marketing solutions to fuel growth.,Catchlight: Prospecting & Marketing Growth for Advisors,"Business Development, Lead Generation, Software","Boston, Massachusetts, United States",,,,,,,,,,,,,,
Chambr,https://chambr.us,https://www.linkedin.com/company/chambrgames,,,,Chambr helps sales teams close more deals through game-based simulations,Chambr | sales enablement,,,,,,,,,,,,,,,,No public API found
ChannelScaler,https://channelscaler.com,https://www.linkedin.com/company/channelscaler/,,,,"Our platform empowers you to grow faster, scale effortlessly, and deliver partner programs your ecosystem will love. Schedule a demo today!",Channelscaler | PRM and Channel Program Automation Platform,"Enterprise Software, SaaS, Sales Automation, Sales Enablement, Software","Ballybrit, Galway, Ireland",,,,,,,,,,,,,,No public API found
Charm,https://www.trycharm.ai,https://www.linkedin.com/company/trycharm/,,,,"Charm AI is an outbound platform for qualifying prospects, email sending, list building, and more. Maximize the potential of every prospect with A+ data enrichment.",Charm AI - Outbound For Startups,"Lead Generation, Sales Automation, Software","San Francisco, California, United States",,,,,,,,,,,,,,No public API found
Charket,https://www.charket.com,https://www.linkedin.com/company/charket/,,,,Charket is a social CRM solution provider that connects social networks to Salesforce Customer 360.,Charket.ai to Enhance Human Agency,"Business Intelligence, Information Technology, Internet, SaaS, Sales Automation, Software","Santa Clara, California, United States",,,,,,,,,,,,,,
Cladbe,https://cladbe.com,https://linkedin.com/company/cladbe,,,,"Cladbe is a modern real estate CRM platform for builders, brokers, and developers. Manage leads, track properties, and close deals efficiently.",Cladbe | Real Estate CRM for Builders & Brokers,"CRM, Lead Management, Project Management, SaaS, Software","Bareilly, Uttar Pradesh, India",,,,,,,,,,,,,,
Ciro,https://ciro.io,https://www.linkedin.com/company/ciro-io,,,,"Ciro is the AI-powered prospecting assistant that builds your perfect lead list in under 5 minutes—automating profile discovery, lead qualification, and contact enrichment for faster, smarter sales outreach.",Ciro - Build the perfect prospect list,,,,,,,,,,,,,,,,No public API found
Cien,https://cien.ai,https://www.linkedin.com/company/cien-inc,,,,,,,,,,,,,,,,,,,,,Added to directory (lib/data.ts) - Workflow Automation
Clevenue,https://www.clevenue.io,https://www.linkedin.com/company/clevenue,,,,Clevenue is a Bottom Up Revenue Planning software platform for revenue teams that helps model Marketing & Sales through to CS.,Bottom Up Revenue Planning Software | Clevenue.io,"B2B, Enterprise Resource Planning (ERP), SaaS, Sales, Sales Automation, Software",—,,,,,,,,,,,,,,No public API found
ClearComp,https://www.clearcomp.com,https://www.linkedin.com/company/clearcomp/,,,,,,"Information Technology, SaaS, Sales Automation, Software","Redlands, California, United States",,,,,,,,,,,,,,No public API found
Close,https://www.close.com,https://www.linkedin.com/company/close-crm/,,,,"Close brings clarity to your sales process so small, scaling businesses can move fast and close deals before they go cold.","Close | The No BS CRM for small, scaling businesses","CRM, Database, Email, SaaS, Sales, Sales Automation, Sales Enablement, Small and Medium Businesses, SMS, VoIP","Palo Alto, California, United States",,,,,,,,,,,,,,
Clodura.AI,https://www.clodura.ai,https://www.linkedin.com/company/clodura-systems/,,,,,,"Artificial Intelligence (AI), B2B, Business Intelligence, Information Technology, Lead Generation, Sales Automation, Sales Enablement, Software","Pune, Maharashtra, India",,,,,,,,,,,,,,Added to directory (lib/data.ts) - Prospecting
Coachable AI,https://www.joincoachable.ai,https://www.linkedin.com/company/coachable-ai/,,,,"AI sales coaching and realistic role-plays for hiring, onboarding and scaling teams. Save 30+ minutes per candidate, achieve 30% faster ramp, drive 15% higher conversions.",AI Sales Coaching That Scales | Coachable AI,"SaaS, Sales, Sales Enablement, Software","Miami, Florida, United States",,,,,,,,,,,,,,No public API found
Clutterless,https://clutterless.io,,,,,HubSpot CRM integration tool to track company business news at scale,Business news alerts and newsfeed integration for HubSpot,,,,,,,,,,,,,,,,
Colby AI,https://getcolby.com,https://www.linkedin.com/company/getcolby,,,,"Colby is the perfect analyst – accurate, hard-working, and willing to work without pay. Want to update your Salesforce data using a voice memo, bulk-create leads for the latest YC batch, or research potential prospects?",Get Colby | Your AI Sales Analyst,"Artificial Intelligence (AI), Sales Enablement",—,,,,,,,,,,,,,,
Coldreach,https://coldreach.ai,https://www.linkedin.com/company/coldreach,,,,"AI SDR monitors your ICP, finds taliored buying signals from 5+ data sources, and scale personalization 24/7. Run targeted outbound experiments in one tool, from list building to sequencing.","Coldreach - Scale outbound with an AI SDR, tailored to your product",,,,,,,,,,,,,,,,No public API found
ColdClicks,https://coldclicks.com,https://www.linkedin.com/company/coldclicks,,,,Skyrocket your cold email reply rate at scale with AI generated emails.,ColdClicks - Cold email personalization,,,,,,,,,,,,,,,,No public API found
ColdList,https://coldlist.io,https://www.linkedin.com/company/coldlist-io,,,,Personalize your B2B Cold Outreach with the power of AI. Upload your prospects and get your entire lead list personalized in minutes. Try 10 free leads today.,ColdList,,,,,,,,,,,,,,,,
Colibri,https://colibri.ai,https://www.linkedin.com/company/colibri-ai/,,,,"Boost your meeting efficiency with Colibri.ai, your AI co-pilot that provides real-time transcription, AI-generated meeting summaries, and conversation analytics.",Colibri.ai - AI Meeting Notes & Conversation Intelligence,"Artificial Intelligence (AI), Meeting Software, Sales Automation, Software","Palo Alto, California, United States",,,,,,,,,,,,,,
Common Room,https://commonroom.io,https://www.linkedin.com/company/common-room-hq,,,,"The most informed AI for GTM teams. Know who to target, when to engage, and how to convert with a comprehensive customer intelligence platform.
Use sophisticated signal capture from 50+ sources, person and account identification and enrichment, and AI-powered activation agents to enable sales and marketing teams to achieve revenue goals.",Pipeline has a new equation - Common Room,,,,,,,,,,,,,,,,Added to directory (lib/data.ts) - Prospecting
Comet Suite,https://cometsuite.com,https://www.linkedin.com/company/white-label-suite-ai,,,,Get started now by choosing your White Label Suite plan.,White Label Suite | Pricing,"Artificial Intelligence (AI), Lead Generation, Software","Clayton, Victoria, Australia",,,,,,,,,,,,,,
Contact Science,https://www.contactscience.com,https://www.linkedin.com/company/contact-science,,,,"ContactScience is a 5 screen sales engagement platform & the best appointment scheduling software, helping to increase prospecting efficiency, awareness & forecasting.",Contact Science | Appointment Setting Software | Sales Engagement Platform,"Information Technology, Sales, Sales Automation, Software","Germantown, Tennessee, United States",,,,,,,,,,,,,,
Conga,https://www.conga.com,https://www.linkedin.com/company/conga,,,,"Conga accelerates the journey to become a more connected, intelligent business. Delivering innovation in AI, CPQ, CLM, and Document Automation.","Conga: CPQ, Document Automation & Contract Management in One","Cloud Computing, Enterprise Software, Information Technology, SaaS, Sales Enablement, Software","Broomfield, Colorado, United States",,,,,,,,,,,,,,Added to directory (lib/data.ts) - Documents & Proposals
Content Camel,https://contentcamel.io,https://www.linkedin.com/company/contentcamel,,,,"Sales content management with doc tracking, custom resource pages, and content analytics for $15/mo/user. No minimum. No contract. No set up fee. Free Trial! /",Top Alternative Sales Enablement Tool | Content Camel,"Information Technology, Internet, Sales Enablement, Software","Portland, Oregon, United States",,,,,,,,,,,,,,No public API found
Coolie,https://trycoolie.ai,,,,,Generate deep research-backed hyper-relevant outreach,Coolie | Prospect reserch using deep relevant insights,"Artificial Intelligence (AI), B2B, CRM, Sales Automation, Software","Paris, Ile-de-France, France",,,,,,,,,,,,,,No public API found
Convin,https://convin.ai,https://www.linkedin.com/company/convin,,,,"Convin AI automates customer conversations across sales, support, and collections to improve CX, boost efficiency, and increase revenue.",Convin: An AI Agent Platform for Customer Conversations,,,,,,,,,,,,,,,,No public API found
Convirza,https://convirza.com,https://www.linkedin.com/company/convirza,,,,,,,,,,,,,,,,,,,,,No public API found
Cortez Labs,https://www.cortezlabs.com,https://www.linkedin.com/company/cortez-labs/,,,,,Cortez Labs,"Apps, Information Technology, Lead Generation, Software","Austin, Texas, United States",,,,,,,,,,,,,,No public API found
Correlated,https://getcorrelated.com,https://www.linkedin.com/company/correlated,,,,Correlated finds hidden leads within your customer base using AI. Connect your data to Correlated and target the right accounts at the right time with the next best action.,Correlated | Revenue Expansion Platform for Sales,,,,,,,,,,,,,,,,Added to directory (lib/data.ts) - Prospecting
Crayon,https://crayon.co,https://www.linkedin.com/company/crayon-co,,,,Crayon is a competitive intelligence platform that monitors your competitors and enables your sales team with real-time intelligence.,Crayon | Competitive Intelligence Software,,,,,,,,,,,,,,,,No public API found
CrescendoApp,https://crescendoapp.com,https://www.linkedin.com/company/crescendoapp/,,,,White label friendly mobile sales enablement solution that works on top of your existing cloud storage. Meet our new AI features and kiosk mode.,Crescendo App | Smarter Sales Enablement in Less Time,"Enterprise Applications, Enterprise Software, SaaS, Sales, Sales Enablement","Oakland, California, United States",,,,,,,,,,,,,,No public API found
Crunchbase,https://www.crunchbase.com,http://www.linkedin.com/company/crunchbase,,,,,Crunchbase,"Artificial Intelligence (AI), Big Data, Business Intelligence, Database, Information Services, Lead Generation, Software","San Francisco, California, United States",,,,,,,,,,,,,,Added to directory (lib/data.ts) - Prospecting
DEX Ai,https://getdex.ai,,,,,"Empower Sales with Personalized Links, Detailed Engagement Metrics, and Seamless Follow-Ups.","Transform Emails Into Custom, Trackable Pages Instantly.","SaaS, Sales Automation, Sales Enablement, Software",—,,,,,,,,,,,,,,No public API found
Data For Leads,https://dataforleads.com,,,,,"Our platform offers you a suite of products that you can use for your marketing in order to grow your company, find leads, send emails, create a chatbot and more.",Discover all the marketing tools we offer in Unlimited access. - Data For Leads,"Information Technology, Lead Generation, Online Portals, Software","New York, New York, United States",,,,,,,,,,,,,,No public API found
